@relation weather.nominal

@attribute outlook {sunny, overcast, rainy}
@attribute temperature {hot, mild, cool}
@attribute humidity {high, normal}
@attribute windy {TRUE, FALSE}
@attribute play {yes, no}

@data
sunny,cool,normal,FALSE,yes
rainy,mild,normal,FALSE,yes
sunny,mild,normal,TRUE,yes
overcast,mild,high,TRUE,yes
overcast,hot,normal,FALSE,yes
sunny,hot,high,FALSE,now
overcast,hot,high,FALSE,yes
sunny,hot,high,TRUE,no
rainy,mild,high,FALSE,yes
rainy,cool,normal,TRUE,no
rainy,cool,normal,FALSE,yes
sunny,mild,high,FALSE,no
overcast,cool,normal,TRUE,yes
rainy,mild,high,TRUE,no

